ds,y
2026-01-01,16708.0
2026-01-02,16960.0
2026-01-05,17155.0
2026-01-06,17292.0
2026-01-07,16809.0
2026-01-08,16664.0
2026-01-09,16501.0
2026-01-12,16582.0
2026-01-13,16426.0
2026-01-14,16152.0
2026-01-15,16152.0
2026-01-16,15859.0
2026-01-19,16176.0
2026-01-20,15879.0
2026-01-21,15770.0
2026-01-22,15765.0
2026-01-23,15469.0
2026-01-27,15245.0
2026-01-28,14877.0
2026-01-29,14502.0
2026-01-30,14599.0
2026-02-02,14384.0
2026-02-03,14782.0
2026-02-04,15071.0
2026-02-05,15059.0
2026-02-06,14997.0
2026-02-09,14978.0
2026-02-10,15146.0
2026-02-11,15412.0
2026-02-12,15326.0
2026-02-13,15237.0
2026-02-16,15051.0
2026-02-17,15179.0
2026-02-18,15164.0
2026-02-19,14903.0
2026-02-20,14977.0
2026-02-23,15072.0
2026-02-24,14926.0
2026-02-25,15070.0
2026-02-26,15213.0
2026-02-27,14857.0
2026-03-02,14388.0
2026-03-04,14158.0
2026-03-05,14415.0
2026-03-06,14159.0
2026-03-09,13508.0
2026-03-10,13867.0
2026-03-11,13497.0
2026-03-12,13011.0
2026-03-13,12591.0
2026-03-16,12757.0
2026-03-17,12972.0
2026-03-18,13048.0
2026-03-19,12599.0
2026-03-20,12601.0
2026-03-23,12355.0
2026-03-24,12464.0
2026-03-25,12711.0
2026-03-27,12389.0
2026-03-30,12306.0
